LR1_coefficients_null_raster	LR1_coefficients_SES_deprivation_R	LR1_R2_null_raster	LR1_R2_SES_deprivation_R	LR1_Q_SES_deprivation_R	LR2_coefficients_null_raster	LR2_coefficients_SES_deprivation_R	LR2_R2_null_raster	LR2_R2_SES_deprivation_R	LR2_Q_SES_deprivation_R
0.0123447890057339	0.00233231502845644	0.0830464961799344	0.112852230231587	0.0298057340516522	0.000386920552320318	1.81570415862476e-05	0.0226641252975035	0.0524352884707415	0.029771163173238
0.00164473002755727	0.000440561233146142	0.00928340086756818	0.0214785259015104	0.0121951250339422	8.13624783070902e-05	3.85686649331149e-06	0.0151667403593754	0.0409684900161653	0.0258017496567899
0.00735587990914544	0.0015320106335719	0.058916673236518	0.102947657508755	0.0440309842722368	0.000146444425940073	8.99039412881932e-06	0.00453882936408895	0.0220078109944509	0.017468981630362
0.000384905333094285	0.000377181236236725	0.000272431556077113	0.00952132575492259	0.00924889419884547	-8.99269894219305e-07	1.71857999690427e-06	1.07434036580592e-06	0.00591717362064842	0.00591609928028261
0.0167365231931431	0.00266062330075405	0.132668804936689	0.142916111130037	0.010247306193348	0.000723390388966401	2.42752016642953e-05	0.0871987636436138	0.129112137327078	0.0419133736834638
0.00577472508259989	0.00114828154820028	0.0554745582812586	0.0932512166026932	0.0377766583214346	0.000112081190535608	5.0923783292111e-06	0.00756118361618441	0.0252234654979007	0.0176622818817163
-0.00556157750309707	-0.000618269414367069	0.0444584013649618	0.0160037008356758	-0.028454700529286	-0.000150433414637383	-1.18178482537976e-06	0.0211634985373243	0.00150161415163936	-0.0196618843856849
0.0043894976091537	0.000906853414558908	0.0449142907373485	0.0724373533294577	0.0275230625921092	0.000124831987130865	4.72941776059435e-06	0.0198507779684084	0.0357341580037624	0.015883380035354
0.00763104779688144	0.00120208915976031	0.070278023723816	0.0669121296698656	-0.00336589405395038	0.000229787413223559	6.49256354746601e-06	0.024680207235491	0.0269024814438722	0.00222227420838119
0.010181870641866	0.00244322434104038	0.045977355730307	0.0758607244338195	0.0298833687035124	0.000140656398045782	9.02824329539099e-06	0.00293421339671743	0.00985352136286965	0.00691930796615222
0.00327873087747418	0.000654512477778212	0.0135423629103861	0.0189938832831352	0.00545152037274903	3.14212198378378e-05	1.39426521154356e-06	0.000697802881507387	0.00176228427677127	0.00106448139526389
0.010540133210797	0.00232730494643483	0.0745940617526255	0.12521107505502	0.0506170133023943	0.000244744367147171	1.50151742161707e-05	0.0142327079365221	0.0529610853364494	0.0387283773999273
0.00461701310521378	0.000686188831421498	0.0402354142013371	0.0371521672463544	-0.00308324695498279	0.000135054100320788	2.90322691917259e-06	0.0203853200240702	0.0171193300168917	-0.00326599000717854
0.00616370748634561	0.000985468333804605	0.0522406960702326	0.049023781416711	-0.00321691465352166	0.000239033573929274	6.94980240328857e-06	0.0357276326324538	0.0335572642584628	-0.00217036837399105
0.00567393900571525	0.00131953893511828	0.0354876401646939	0.0693467657841421	0.0338591256194482	2.40620721172536e-05	4.12213788842826e-06	0.000143964563235162	0.00536455570893478	0.00522059114569962
0.0112671904049959	0.00188765361274514	0.0969805883316075	0.105585935089906	0.00860534675829855	0.000444349595318281	1.44837024952464e-05	0.0629395406875884	0.0832200127457727	0.0202804720581842
0.0215110402335543	0.0034077453340699	0.218822757509591	0.237092415321971	0.0182696578123799	0.00121656013602891	3.99064888633513e-05	0.0963421486047547	0.15796799822245	0.0616258496176955
0.0229216359186075	0.00439259281645468	0.153570281056721	0.246480510093692	0.0929102290369703	0.000710462516559432	3.58640215334943e-05	0.0475014099242954	0.160886532227347	0.113385122303052
