city;type;lat;long;y_proj;x_proj
arequipa;national;-16.41867;-71.47009;-1944230.464;2845574.235
arequipa;national;-16.41865;-71.47002;-1944229;2845582.436
arequipa;national;-16.41863;-71.46995;-1944227.536;2845590.637
arequipa;national;-16.4186;-71.46987;-1944225.023;2845600.103
arequipa;national;-16.41858;-71.46977;-1944223.939;2845611.707
arequipa;national;-16.41855;-71.46967;-1944221.68;2845623.442
arequipa;national;-16.41854;-71.46957;-1944221.77;2845634.914
arequipa;national;-16.41852;-71.46946;-1944220.813;2845647.652
arequipa;national;-16.41851;-71.46936;-1944220.903;2845659.124
arequipa;national;-16.41849;-71.46925;-1944219.946;2845671.862
arequipa;national;-16.41845;-71.46915;-1944216.511;2845683.727
arequipa;national;-16.41839;-71.46907;-1944210.473;2845693.587
arequipa;national;-16.4183;-71.46902;-1944200.531;2845700.438
arequipa;national;-16.41821;-71.46898;-1944190.462;2845706.155
arequipa;national;-16.41812;-71.46893;-1944180.519;2845713.006
arequipa;national;-16.41804;-71.46887;-1944171.878;2845720.86
arequipa;national;-16.41797;-71.46879;-1944164.665;2845730.851
arequipa;national;-16.41791;-71.4687;-1944158.754;2845741.845
arequipa;national;-16.41787;-71.46858;-1944155.573;2845755.979
arequipa;national;-16.41783;-71.46846;-1944152.392;2845770.113
arequipa;national;-16.4178;-71.46833;-1944150.512;2845785.251
arequipa;national;-16.41777;-71.46818;-1944148.885;2845802.656
arequipa;national;-16.41775;-71.46803;-1944148.434;2845819.93
arequipa;national;-16.41773;-71.46789;-1944147.856;2845836.071
arequipa;national;-16.41771;-71.46774;-1944147.405;2845853.345
arequipa;national;-16.41769;-71.46759;-1944146.953;2845870.619
arequipa;national;-16.41767;-71.46746;-1944146.249;2845885.626
arequipa;national;-16.41766;-71.46733;-1944146.719;2845900.501
arequipa;national;-16.41765;-71.4672;-1944147.19;2845915.376
arequipa;national;-16.41765;-71.46707;-1944148.835;2845930.12
arequipa;national;-16.41766;-71.46695;-1944151.53;2845943.598
arequipa;national;-16.41768;-71.46683;-1944155.399;2845956.946
arequipa;national;-16.41769;-71.46672;-1944157.966;2845969.29
arequipa;national;-16.4177;-71.46662;-1944160.407;2845980.5
arequipa;national;-16.41769;-71.46653;-1944160.372;2845990.839
arequipa;national;-16.41767;-71.46645;-1944159.034;2846000.174
arequipa;national;-16.41765;-71.46638;-1944157.57;2846008.376
arequipa;national;-16.4176;-71.46632;-1944152.454;2846015.836
arequipa;national;-16.41754;-71.46628;-1944145.91;2846021.16
