LR1_coefficients_null_raster	LR1_coefficients_X19K_20240101.20241231_C	LR1_R2_null_raster	LR1_R2_X19K_20240101.20241231_C	LR1_Q_X19K_20240101.20241231_C	LR2_coefficients_null_raster	LR2_coefficients_X19K_20240101.20241231_C	LR2_R2_null_raster	LR2_R2_X19K_20240101.20241231_C	LR2_Q_X19K_20240101.20241231_C
0.010898687134436	0.019896722033503	0.0995825312907245	0.138465104965409	0.0388825736746848	0.000348666586329737	0.00149623135333996	0.0463574759402492	0.103617996267653	0.0572605203274038
-0.000533065071626186	-0.000406357247293254	0.000477026870193344	8.44948579878163e-05	-0.000392532012205528	-3.15358285608135e-05	-3.79208079427583e-05	0.00119088848766585	0.00017026631549908	-0.00102062217216677
0.00946293148923709	0.0162285589171697	0.0633454303610236	0.0832982813390264	0.0199528509780028	0.000340765876440199	0.00102954456255108	0.0295064694750335	0.0450165710930611	0.0155101016180276
0.0100492005824731	0.0156076728551274	0.0681280239122392	0.0710239255397517	0.00289590162751252	0.000386023889704748	0.000999184364498212	0.0339833893386279	0.0361966721892384	0.00221328285061057
-0.00197102728477867	-0.00172045097726514	0.00822042065503412	0.00168990405977787	-0.00653051659525625	-8.51260250892255e-05	-0.000135721897534768	0.0112103974736272	0.00297676358153057	-0.00823363389209667
0.0135670651978163	0.0229831379340445	0.117961124199371	0.148669492971933	0.0307083687725617	0.000486468128671655	0.00154771669156898	0.0491684230916519	0.0787790757523772	0.0296106526607252
0.0112430934604722	0.0195678410265085	0.0872885800098165	0.105331281309682	0.018042701299865	0.000302239388248344	0.00118507727482142	0.0270583639543293	0.0465272509689295	0.0194688870146002
-0.00216576252817825	-0.00238436291789019	0.00817952313914375	0.00319564645406789	-0.00498387668507586	-8.80239484732593e-05	-0.000119243316246221	0.00927595582557812	0.00231610293077705	-0.00695985289480107
0.00775422200172493	0.016675909102721	0.0543487694729445	0.0964620958453961	0.0421133263724516	0.000193444000632052	0.00112472983376937	0.0146810390823555	0.0531299685570162	0.0384489294746608
0.0116219757620537	0.022865772556544	0.0844004294624659	0.135008230379054	0.050607800916588	0.000323274684712628	0.00159820752161503	0.0240845405256576	0.0772921862603742	0.0532076457347165
0.0084593401870678	0.0163105408136621	0.0460409353771091	0.0695459084259332	0.0235049730488241	0.000208135311045554	0.000931067951239369	0.0114565359884936	0.0286652755121347	0.0172087395236411
-4.35861404800432e-05	-0.00200213039812496	4.26166840343076e-06	0.00260847093372685	0.00260420926532342	1.47725903942945e-05	-0.000118237778325544	0.000336293469163889	0.00235331461546499	0.0020170211463011
0.00982171171265964	0.018282793165636	0.07880811650395	0.114714436941733	0.035906320437783	0.000261062790642795	0.001096790239665	0.0241705229799365	0.0592319296833845	0.0350614067034481
-0.00163364391984651	-0.00132214784134282	0.00490303054087387	0.00102643628456117	-0.0038765942563127	-4.56264716292817e-05	-3.75766039638458e-05	0.00301483572468682	0.000263297576540348	-0.00275153814814647
0.0117048524787198	0.0195461024856204	0.09540810379438	0.11016358946315	0.0147554856687699	0.000373174415687887	0.00120006535507967	0.0356751825341114	0.054268056637056	0.0185928741029446
0.00689569550109653	0.0132090571497516	0.0488588018341763	0.0706978398812242	0.021839038047048	0.000191880076784807	0.000805015930402132	0.0165584357286513	0.0333151620735712	0.0167567263449199
-0.000673382319759763	-5.46945537826371e-05	0.000944978741994723	1.94065221619787e-06	-0.000943038089778525	-2.91315011061923e-05	-1.0827838179334e-05	0.0013804974413025	2.22943143387719e-05	-0.00135820312696373
0.00852478298317885	0.0155494112071274	0.0587776932428248	0.0864691067192947	0.0276914134764699	0.000213048441929108	0.000900585819016464	0.0168122602124338	0.0428904047731679	0.0260781445607341
