LR1_coefficients_null_raster	LR1_coefficients_lyr.1_C	LR1_R2_null_raster	LR1_R2_lyr.1_C	LR1_Q_lyr.1_C	LR2_coefficients_null_raster	LR2_coefficients_lyr.1_C	LR2_R2_null_raster	LR2_R2_lyr.1_C	LR2_Q_lyr.1_C
0.0113843060549225	0.0292786813986488	0.0933118304352608	0.00484730320841253	-0.0884645272268483	0.000424943661941255	-0.000597186010421521	0.0477283033619184	2.71649127116948e-05	-0.0477011384492067
0.00978050094496967	0.0353045543050633	0.0695302223449934	0.00616280541926938	-0.063367416925724	0.000239373227480533	0.00100661865631582	0.017515453111449	5.82485997538294e-05	-0.0174572045116951
0.00678519885948498	0.0251185939596742	0.0372620822555771	0.00386099079004982	-0.0334010914655272	0.000152564892776077	0.00948836010423547	0.00795040119972657	0.00771203659585736	-0.000238364603869209
0.0127286359851017	0.023176667123089	0.133783123697302	0.00506390666873551	-0.128719217028567	0.000502926505743407	0.00250886758807527	0.0697977744779401	0.000601706464243525	-0.0691960680136966
0.0112602270594974	0.021452497782241	0.086547636544227	0.00274225596343526	-0.0838053805807917	0.00037216666430003	0.000616386249366206	0.0333561130844231	2.51455267799772e-05	-0.0333309675576431
0.00856683643327433	0.0104934364615455	0.0538787002476506	0.000485586157146004	-0.0533931140905046	0.000245326010949206	0.000334158634372413	0.0189437792232228	8.48679440984265e-06	-0.018935292428813
0.0136006381239392	0.0219434458920129	0.10018124424252	0.00192168107888678	-0.0982595631636327	0.00042308037735539	-0.0025916475227279	0.0369190169278085	0.000433222236278963	-0.0364857946915295
0.0122864417672659	0.00973695803123818	0.094712685802353	0.000811316969580886	-0.0939013688327721	0.000500757267812108	-0.00114724311376988	0.0506886843828041	0.000140755213300276	-0.0505479291695039
0.010898687134436	0.0229506781988503	0.0995825312907245	0.0050572111565606	-0.0945253201341639	0.000348666586329737	0.00328915509351271	0.0463574759402492	0.00131445021433822	-0.0450430257259109
-0.000533065071626186	-0.00864365414450467	0.000477026870193344	0.0011973414100094	0.000720314539816053	-3.15358285608135e-05	-0.00198690629680108	0.00119088848766585	0.00156523625768675	0.000374347770020899
