type;ident;lat;long;y_proj;x_proj;ingreso_economico
TRACK;1.4.2-6;-16.39327671;-71.56058229;-1940105.681;2835645.022;B
TRACK;1.4.2-6;-16.39287482;-71.56062092;-1940057.994;2835645.878;B
TRACK;1.4.2-7; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-7;-16.39334586;-71.56078926;-1940111.201;2835620.656;B
TRACK;1.4.2-7;-16.39389175;-71.56071113;-1940176.296;2835622.403;B
TRACK;1.4.2-7;-16.39385303;-71.56054023;-1940173.898;2835642.282;B
TRACK;1.4.2-7;-16.39330942;-71.56057804;-1940109.576;2835645.077;B
TRACK;1.4.2-8; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-8;-16.39392545;-71.56069214;-1940180.494;2835624.116;B
TRACK;1.4.2-8;-16.39462484;-71.56059819;-1940263.817;2835625.656;B
TRACK;1.4.2-8;-16.39481345;-71.56059514;-1940286.008;2835623.544;B
TRACK;1.4.2-8;-16.39489169;-71.56059739;-1940295.168;2835622.27;B
TRACK;1.4.2-8;-16.39514976;-71.56058742;-1940325.604;2835620.038;B
TRACK;1.4.2-8;-16.39527678;-71.56061674;-1940340.153;2835615.058;B
TRACK;1.4.2-8;-16.39555004;-71.56059131;-1940372.567;2835614.381;B
TRACK;1.4.2-8;-16.39557601;-71.56032301;-1940378.991;2835644.46;B
TRACK;1.4.2-8;-16.39524326;-71.56026331;-1940340.661;2835655.564;B
TRACK;1.4.2-8;-16.39497925;-71.56021131;-1940310.307;2835664.899;B
TRACK;1.4.2-8;-16.39484201;-71.5602165;-1940294.123;2835666.099;B
TRACK;1.4.2-8;-16.394799;-71.56038678;-1940286.93;2835647.354;B
TRACK;1.4.2-8;-16.39390478;-71.56054552;-1940179.91;2835641.008;B
TRACK;1.4.2-9; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-9;-16.39597793;-71.56037547;-1940425.536;2835633.276;B
TRACK;1.4.2-9;-16.39564352;-71.56032183;-1940386.935;2835643.715;B
TRACK;1.4.2-9;-16.39560504;-71.56058145;-1940379.15;2835614.782;B
TRACK;1.4.2-9;-16.3959865;-71.56059051;-1940423.838;2835608.785;B
