sequenced?,ID_MUESTRA,year,X,case_regional,case_local,district,locality,dog_status,complaint_date,symptom_date,kill_date,sample_date,ship_date,contain_date,infectious_period,noncontained_period,lon,lat,x_utm,y_utm
Y,69,2022,69_2022,Caso007,NA,HUNTER,UPIS PAISAJISTA,CON DUENHO,2022-03-22,2022-03-21,2022-03-22,2022-03-22,2022-03-23,2022-03-24,1,3,-71.556723519478695,-16.462865214770002,867793.37505902897,8176765.9387572696
Y,103,2022,103_2022,Caso010,NA,MOLLEBAYA,ASOC HUERTO DEL EDEN,CON DUENHO,2022-04-15,2022-04-15,2022-04-16,2022-04-16,2022-04-18,2022-04-19,1,4,-71.5132039009533,-16.491966291046801,872390.21181902301,8173461.9114744496
Y,145,2022,145_2022,Caso014,NA,CERRO COLORADO,JLByR SECTOR 5,SIN DUENHO,2022-06-08,2022-06-06,2022-06-08,2022-06-09,2022-06-10,2022-06-11,2,5,-71.606472218596295,-16.339640609107501,862703.67047329806,8190507.1817141203
Y,147,2022,147_2022,Caso015,NA,YURA,LAS PERLAS,CON DUENHO,2022-06-10,2022-06-09,2022-06-10,2022-06-10,2022-06-10,2022-06-11,1,2,-71.640231349466006,-16.289426965409,859184.30751268601,8196129.7565690996
Y,158,2022,158_2022,Caso017,NA,HUNTER,TINGO GRANDE,CON DUENHO,2022-06-19,2022-06-17,2022-06-21,2022-06-21,2022-06-22,2022-06-24,4,7,-71.576484029809805,-16.455329772472702,865695.04457458796,8177636.6813862501
Y,172,2022,172_2022,Caso019,NA,CAYMA,PIONEROS ZONA A,CON DUENHO,2022-07-07,2022-07-07,2022-07-07,2022-07-08,2022-07-11,2022-07-14,0,7,-71.525221999999999,-16.303290000000001,871463.88725154602,8194387.7556555197
Y,173,2022,173_2022,Caso020,NA,HUNTER,AV. SAN MIGUEL,CON DUENHO,2022-07-11,2022-07-11,2022-07-11,2022-07-12,2022-07-12,2022-07-14,0,3,-71.554181,-16.448238,868092.82455387898,8178381.8319354896
Y,219,2022,219_2022,Caso024,NA,CHARACATO,YANAYACO,CON DUENHO,2022-08-29,2022-08-20,2022-08-29,2022-08-29,2022-08-31,2022-09-01,9,12,-71.459300375286503,-16.473721713229502,878187.75877841504,8175382.9398700204
Y,236,2022,236_2022,Caso028,NA,PEDREGAL,NA,CON DUENHO,2022-09-07,2022-09-04,2022-09-07,2022-09-07,2022-09-07,2022-09-08,3,4,-72.195040000000006,-16.335433999999999,799767.40343853296,8191931.7729408201
Y,246,2022,246_2022,Caso030,NA,CHARACATO,ASOC. GUSTAVO MOHOME LLOSA,CON DUENHO,2022-09-15,2022-09-12,2022-09-15,2022-09-16,2022-09-16,2022-09-17,3,5,-71.492148851397701,-16.479247999999998,874665.38619786699,8174831.9867888801
Y,266,2022,266_2022,Caso031,NA,CERRO COLORADO,PERUARBO SECTOR III,CON DUENHO,2022-09-27,2022-09-26,2022-09-27,2022-09-27,2022-09-27,2022-09-28,1,2,-71.597638000000003,-16.352273,863625.23799090995,8189091.9340814697
Y,280,2022,280_2022,Caso034,NA,CERRO COLORADO,MARISCAL CASTILLA,CON DUENHO,2022-10-13,2022-10-08,2022-10-12,2022-10-13,2022-10-13,2022-10-17,4,9,-71.623082627444504,-16.379189038377302,860854.08386233496,8186155.5230770102
Y,286,2022,286_2022,Caso035,NA,CHARACATO,CALLE MOQUEGUA NRO 86-A LA HUAYLLA,CON DUENHO,2022-10-16,2022-10-13,2022-10-17,2022-10-17,2022-10-18,2022-10-19,4,6,-71.476934,-16.474685000000001,876300.72694165597,8175309.2064521601
Y,30,2023,30_2023,Caso003,NA,YURA,CIUDAD DE DIOS PROFAM MZ 3 LT 3,CON DUENHO,2023-02-07,2023-02-03,2023-02-07,2023-02-07,2023-02-07,2023-02-09,4,6,-71.629620936604198,-16.319704721971299,860264.08999098104,8192756.8549075797
Y,152,2023,152_2023,Caso009,NA,YURA,ASOCIACION DE VIVIENDASEL ALTIPLANO MZF LT 4,CON DUENHO,2023-04-01,2023-03-31,2023-04-01,2023-04-03,2023-04-03,2023-04-03,1,3,-71.626901874119795,-16.3082570700698,860575.96328514302,8194020.2173536997
