sequenced?,ID_MUESTRA,year,X,case_regional,case_local,district,locality,dog_status,complaint_date,symptom_date,kill_date,sample_date,ship_date,contain_date,infectious_period,noncontained_period,lon,lat,x_utm,y_utm,
Y,320,2019,320_2019,,NA,YURA,AVIS ALTIPLANO KM 16 ZN A SEC 1 MZ B LT 4,,NA,NA,20-Oct-19,20-Oct-19,21-Oct-19,NA,,,,,,,
Y,321,2023,321_2023,Caso024,NA,YURA,Asociación Bellavista - Las Ardillas Zona 1 J -9,CON DUENHO,8/25/23,24-Aug-23,26-Aug-23,26-Aug-23,28-Aug-23,26-Aug-23,2,2,-71.64627,-16.309694,858501.2939,8193895.231,
Y,333,2018,333_2018,Caso033,NA,CERRO COLORADO,CIUDAD MUNICIPAL SECTOR 2,NS,9/17/18,17-Sep-18,17-Sep-18,17-Sep-18,17-Sep-18,19-Sep-18,0,2,-71.59501,-16.324383,863958.049,8192176.99,
Y,336,2019,336_2019,Caso037,NA,CAYMA,,,10/31/19,29-Oct-19,31-Oct-19,NA,4-Nov-19,4-Nov-19,,,,,,,
Y,34,2021,34_2021,Caso014,NA,PEDREGAL,CIUDAD MAJES MODULO E SECTOR 2,NA,2/9/21,5-Feb-21,10-Feb-21,11-Feb-21,11-Feb-21,12-Feb-21,5,7,-72.17833375,-16.32003749,801577.2704,8193611.969,
Y,348,2023,348_2023,Caso026,NA,J. L. B Y R,Urbanizacion bancarios (canal IREN) ,SIN DUENHO,10/6/23,6-Oct-23,6-Oct-23,7-Oct-23,9-Oct-23,11-Oct-23,,,,,,,
Y,35,2018,35_2018,Caso005,2,CERRO COLORADO,JLBYR SECTOR 6,CON DUENHO,1/28/18,28-Jan-18,30-Jan-18,31-Jan-18,1-Feb-18,2-Feb-18,2,5,-71.60505,-16.341963,862851.5085,8190247.362,
Y,NA,2010,3553_2010,,NA,AZANGARO (PUNO),,,NA,NA,--,19-Nov-10,NA,NA,,,-70.11292,-15.24659,,,
Y,357,2016,357_2016,NA,12,CERRO COLORADO,CIUDAD MUNICIPAL,NA,7/11/16,9-Jul-16,10-Jul-16,11-Jul-16,11-Jul-16,12-Jul-16,1,3,-71.58736745,-16.32286847,864778.4455,8192331.088,
Y,358,2023,358_2023,Caso027,NA,JLBYR,Parqueo IREN - JLByR,SIN DUENHO,10/18/23,18-Oct-23,18-Oct-23,18-Oct-23,19-Oct-23,20-Oct-23,0,2,-71.53008754,-16.4148062,870732.2947,8182041.699,
Y,367,2015,367_2015,9,NA,MARIANO MELGAR,SANTA ROSA,CON DUENHO,7/16/15,13-Jul-15,17-Jul-15,17-Jul-15,17-Jul-15,NA,4,NA,-71.50720846,-16.40813318,873191.6231,8182738.962,
Y,374,2018,374_2018,Caso037,NA,YURA,CIUDAD DE DIOS,NA,NA,NA,6-Oct-18,8-Oct-18,9-Oct-18,11-Oct-18,NA,NA,-71.627045,-16.293726,860587.2809,8195630.23,
Y,375,2017,375_2017,,NA,MARIANO MELGAR,ASC LOS ROSALES MZ E LT 2,,NA,NA,,23-Nov-17,23-Nov-17,NA,,,,,,,
Y,375,2018,375_2018,Caso038,NA,YURA,CIUDAD DE DIOS,NA,NA,NA,8-Oct-18,9-Oct-18,9-Oct-18,11-Oct-18,NA,NA,-71.6183252,-16.30910151,861491.9763,8193911.464,
Y,386,2016,386_2016,,NA,MARIANO MELGAR,PPJJ ARTURO VILLEGAS MZ A LT 5,,NA,NA,,21-Jul-16,22-Jul-16,NA,,,,,,,
Y,4,2023,4_2023,Caso001,NA,ALTO SELVA ALEGRE,VILLA CONFRATERNIDAD AGRUPAMIENTO FAMILIAR ZC C MZ 3  LT 10,SIN DUENHO,1/7/23,6-Jan-23,7-Jan-23,7-Jan-23,9-Jan-23,11-Jan-23,,,,,,,
Y,40,2021,40_2021,Caso015,NA,CERRO COLORADO,PEDRO P DIAZ,NA,2/15/21,9-Feb-21,13-Feb-21,15-Feb-21,16-Feb-21,19-Feb-21,4,10,-71.55359419,-16.31982398,868397.2401,8192607.526,
Y,402,2017,402_2017,,NA,CERRO COLORADO,VIA DE EVITAMIENTO KM 6.5,,NA,NA,,15-Dec-17,15-Dec-17,NA,,,,,,,
Y,41,2020,41_2020,Caso005,NA,YURA,NA,CON DUENHO,2/12/20,10-Feb-20,11-Feb-20,13-Feb-20,13-Feb-20,14-Feb-20,1,4,-71.60915384,-16.3177206,862457.2747,8192940.317,
Y,41,2024,41_2024,Caso001,NA,MARIANO MELGAR,SAN GERONIMO,SIN DUEHO,2/2/24,NA,NA,2-Feb-24,2-Feb-24,6-Feb-24,NA,NA,-71.48109962,-16.40224446,875995.066,8183343.087,
Y,42,2020,42_2020,Caso006,NA,PAUCARPATA,NA,NA,2/13/20,6-Feb-20,9-Feb-20,13-Feb-20,13-Feb-20,15-Feb-20,3,9,-71.49382107,-16.42870613,874583.8044,8180434.863,
Y,435,2018,435_2018,Caso045,NA,PAUCARPATA,NA,NS,NA,NA,14-Nov-18,14-Nov-18,14-Nov-18,NA,NA,NA,-71.51325918,-16.41191557,872537.3483,8182331.049,
Y,44,2016,44_2016,6,4,CERRO COLORADO,VILLA CANTERAS,CON DUENHO,2/17/16,17-Feb-16,17-Feb-16,17-Feb-16,17-Feb-16,18-Feb-16,0,1,-71.59056757,-16.33157566,864419.9443,8191372.203,
Y,442,2016,442_2016,NA,15,CERRO COLORADO,APIPA SECTOR XII,NA,9/15/16,15-Sep-16,18-Sep-16,18-Sep-16,19-Sep-16,19-Sep-16,3,4,-71.61649811,-16.33453865,861640.6242,8191090.25,
Y,447,2018,447_2018,Caso047,NA,CERRO COLORADO,NA,NA,NA,NA,25-Nov-18,26-Nov-18,27-Nov-18,27-Nov-18,NA,NA,-71.612175,-16.35057,862073.4852,8189306.567,
