taxon	lon	lat	district	ID_MUESTRA	year	case_regional	case_local	locality	dog_status	contain_date	infectious_period	noncontained_period	best_date	species	lon	lat			
302_2016_16-Jun-16	-71.519325	-16.368977	asa	302	2016		NA	VILLA INDEPENDIENTE C 9		NA	NA	NA	16-Jun-16	DOG	-71.519325	-16.368977			
302_2017_14-Sep-17	-71.547671	-16.314074	ccolorado	302	2017	Caso038	19	VILLA CERRILLOS	CON DUENHO	19/09/17	3	5	14-Sep-17	DOG	-71.547671	-16.314074			
31_2021_7-Feb-21	-71.568742	-16.329854	ccolorado	31	2021	Caso012	NA	ASOC. LAS FLORES	NA	9/2/21	1	2	7-Feb-21	DOG	-71.568742	-16.329854			
312_2019_7-Oct-19	-71.520851	-16.442036	jlbyr	312	2019	Caso032	NA	NA	NA	8/10/19	0	1	7-Oct-19	DOG	-71.520851	-16.442036			
315_2017_2-Oct-17	-71.526939	-16.343984	asa	315	2017	Caso040	NA	CANTERAS ASA		NA	NA	NA	2-Oct-17	DOG	-71.526939	-16.343984			
319_2017_4-Oct-17	-71.480233	-16.391203	mmelgar	319	2017	Caso041	NA	HEROES DEL CENEPA ZN C W-6		NA	NA	NA	4-Oct-17	DOG	-71.480233	-16.391203			
32_2016_4-Feb-16	-71.561367	-16.330184	ccolorado	32	2016	3	2	CARLOS BACA FLOR	CON DUENHO	5/2/16	NA	NA	4-Feb-16	DOG	-71.561367	-16.330184			
320_2019_20-Oct-19	-71.630046	-16.29986	yura	320	2019	Caso035	NA	AVIS ALTIPLANO KM 16 ZN A SEC 1 MZ B LT 4		NA	NA	NA	20-Oct-19	DOG	-71.630046	-16.29986			
321_2023_24-Aug-23	-71.64627	-16.309694	yura	321	2023	Caso024	NA	Asociaci√≥n Bellavista - Las Ardillas Zona 1 J -9	CON DUENHO	26/08/23	2	2	24-Aug-23	DOG	-71.64627	-16.309694			
333_2018_17-Sep-18	-71.59501	-16.324383	ccolorado	333	2018	Caso033	NA	CIUDAD MUNICIPAL SECTOR 2	NS	19/09/18	0	2	17-Sep-18	DOG	-71.59501	-16.324383			
336_2019_29-Oct-19	-71.521278	-16.294558	cayma	336	2019	Caso037	NA	Los Jazmines Zona B 		4/11/19	NA	NA	29-Oct-19	DOG	-71.521278	-16.294558			
34_2021_5-Feb-21	-72.178334	-16.320037	pedregal	34	2021	Caso014	NA	CIUDAD MAJES MODULO E SECTOR 2	NA	12/2/21	5	7	5-Feb-21	DOG	-72.178334	-16.320037			
348_2023_6-Oct-23	-71.529917	-16.414436	jlbyr	348	2023	Caso026	NA	Urbanizacion bancarios (canal IREN) 	SIN DUENHO	11/10/23	NA	NA	6-Oct-23	DOG	-71.529917	-16.414436			
35_2018_28-Jan-18	-71.60505	-16.341963	ccolorado	35	2018	Caso005	2	JLBYR SECTOR 6	CON DUENHO	2/2/18	2	5	28-Jan-18	DOG	-71.60505	-16.341963			
3553_2010_19-Nov-10	-70.11292	-15.24659	puno	NA	2010		NA			NA	NA	NA	19-Nov-10	LIVESTOCK	-70.11292	-15.24659			
357_2016_9-Jul-16	-71.587367	-16.322868	ccolorado	357	2016	NA	12	CIUDAD MUNICIPAL	NA	12/7/16	1	3	9-Jul-16	DOG	-71.587367	-16.322868			
