Taxon	ID	district	sequenced.	ID_MUESTRA	year	country	case_regional	case_local	locality	dog_status	complaint_date	symptom_date	kill_date	sample_date	ship_date	contain_date	infectious_period	noncontained_period	lon	lat	x_utm	y_utm	X.1	best_date	species
562_2016_7-Dec-16	562_2016	ccolorado	Y	562	2016	Peru	NA	29	MERCADO MAYORISTA	NA	12/8/16	7/12/16	8/12/16	9/12/16	9/12/16	11/12/16	1	4	-71.58302859	-16.32566277	865237.418	8192013.737	NA	7-Dec-16	DOG
130_2016_4-Apr-16	130_2016	ccolorado	Y	130	2016	Peru	13	5	VILLA CERRILLOS	NA	NA	4/4/16	5/4/16	5/4/16	5/4/16	7/4/16	1	3	-71.5827859	-16.31652235	865280.3723	8193025.923	NA	4-Apr-16	DOG
12_2017_5-Jan-17	12_2017	ccolorado	Y	12	2017	Peru	Caso003	2	VIA EVITAMIENTO	CON DUENHO	1/6/17	5/1/17	6/1/17	6/1/17	6/1/17	10/1/17	1	5	-71.5816	-16.348183	865348.3262	8189516.264	NA	5-Jan-17	DOG
563_2016_7-Dec-16	563_2016	ccolorado	Y	563	2016	Peru	NA	30	SANTA ISABEL ZONA II	NA	12/11/16	7/12/16	9/12/16	11/12/16	12/12/16	11/12/16	2	4	-71.58124094	-16.33749293	865406.6407	8190699.921	NA	7-Dec-16	DOG
100_2023_13-Mar-23	100_2023	ccolorado	Y	100	2023	Peru	Caso008	NA	VIA DE EVITAMIENTO  KM 4.5	CON DUENHO	3/14/23	13/03/23	14/03/23	14/03/23	14/03/23	15/03/23	1	2	-71.57673781	-16.36800562	865831.4176	8187311.449	NA	13-Mar-23	DOG
57_2017_28-Jan-17	57_2017	ccolorado	Y	57	2017	Peru	Caso006	4	VILLA MAJISTERIAL	CON DUENHO	2/1/17	28/01/17	1/2/17	1/2/17	1/2/17	3/2/17	4	6	-71.57386406	-16.32258209	866223.5678	8192338.556	NA	28-Jan-17	DOG
149_2020_17-Dec-20	149_2020	ccolorado	Y	149	2020	Peru	Caso021	NA	NA	NA	12/19/20	17/12/20	20/12/20	20/12/20	21/12/20	21/12/20	3	4	-71.57247195	-16.33255972	866353.8843	8191230.667	NA	17-Dec-20	DOG
31_2021_7-Feb-21	31_2021	ccolorado	Y	31	2021	Peru	Caso012	NA	ASOC. LAS FLORES	NA	2/8/21	7/2/21	8/2/21	8/2/21	8/2/21	9/2/21	1	2	-71.56874178	-16.32985356	866757.975	8191523.749	NA	7-Feb-21	DOG
297_2023_19-Jul-23	297_2023	ccolorado	Y	297	2023	Peru	Caso022	NA	Calle prolongaci√≥n progreso s/n - Atahualpa (al lado del club Lord Byron)	CON DUENHO	7/21/23	19/07/23	21/07/23	22/07/23	24/07/23	26/07/23	2	7	-71.56769812	-16.39543776	866746.857	8184256.008	NA	19-Jul-23	DOG
242_2019_8-Aug-19	242_2019	ccolorado	Y	242	2019	Peru	Caso022	NA	NA	NA	NA	NA	8/8/19	8/8/19	9/8/19	10/8/19	NA	NA	-71.567024	-16.36934	866867.8671	8187146.078	NA	8-Aug-19	DOG
107_2018_25-Mar-18	107_2018	ccolorado	Y	107	2018	Peru	Caso015	6	MARIO VARGAS LLOSA	CON DUENHO	NA	NA	25/03/18	25/03/18	26/03/18	NA	NA	NA	-71.56632	-16.35346	866972.8993	8188904.1	NA	25-Mar-18	DOG
151_2024_13-Apr-24	151_2024	ccolorado	Y	151	2024	Peru	Caso003	NA	Las Gardenias	CON DUENHO	4/13/24	13/04/24	13/04/24	13/04/24	15/04/24	18/04/24	0	5	-71.56336805	-16.32043721	867350.4515	8192557.258	NA	13-Apr-24	DOG
32_2016_4-Feb-16	32_2016	ccolorado	Y	32	2016	Peru	3	2	CARLOS BACA FLOR	CON DUENHO	2/4/16	NA	4/2/16	4/2/16	5/2/16	5/2/16	NA	NA	-71.56136748	-16.3301838	867546.2406	8191473.85	NA	4-Feb-16	DOG
40_2021_9-Feb-21	40_2021	ccolorado	Y	40	2021	Peru	Caso015	NA	PEDRO P DIAZ	NA	2/15/21	9/2/21	13/02/21	15/02/21	16/02/21	19/02/21	4	10	-71.55359419	-16.31982398	868397.2401	8192607.526	NA	9-Feb-21	DOG
22_2016_27-Jan-16	22_2016	ccolorado	Y	22	2016	Peru	2	1	LOS ANGELES	CON DUENHO	2/1/16	27/01/16	1/2/16	1/2/16	2/2/16	3/2/16	5	7	-71.55127284	-16.30893296	868666.0133	8193809.916	NA	27-Jan-16	DOG
166_2016_21-Apr-16	166_2016	ccolorado	Y	166	2016	Peru	NA	8	JOSE MARIA ARGUEDAS	NA	4/25/16	21/04/16	25/04/16	25/04/16	26/04/16	26/04/16	4	5	-71.55078345	-16.31433177	868708.2483	8193210.907	NA	21-Apr-16	DOG
576_2016_19-Dec-16	576_2016	ccolorado	Y	576	2016	Peru	NA	33	CERRILLOS	NA	12/19/16	19/12/16	21/12/16	21/12/16	21/12/16	23/12/16	2	4	-71.55066935	-16.31380686	868721.44	8193268.854	NA	19-Dec-16	DOG
255_2019_16-Aug-19	255_2019	ccolorado	Y	255	2019	Peru	Caso024	NA	NA	NA	8/18/19	16/08/19	18/08/19	19/08/19	19/08/19	20/08/19	2	4	-71.54994	-16.32037	868787.1555	8192540.414	NA	16-Aug-19	DOG
462_2016_24-Sep-16	462_2016	ccolorado	Y	462	2016	Peru	NA	18	NAZARENO 6TA ETAPA	NA	9/27/16	24/09/16	27/09/16	27/09/16	28/09/16	29/09/16	3	5	-71.54865668	-16.3262841	868913.3444	8191882.874	NA	24-Sep-16	DOG
213_2021_26-Jun-21	213_2021	ccolorado	Y	213	2021	Peru	Caso042	NA	VILLA CERRILLOS	CON DUENHO	6/29/21	26/06/21	30/06/21	30/06/21	30/06/21	1/7/21	4	5	-71.54805501	-16.31464471	868999.5691	8193171.292	NA	26-Jun-21	DOG
302_2017_14-Sep-17	302_2017	ccolorado	Y	302	2017	Peru	Caso038	19	VILLA CERRILLOS	CON DUENHO	9/17/17	14/09/17	17/09/17	17/09/17	18/09/17	19/09/17	3	5	-71.54767145	-16.31407443	869041.676	8193233.777	NA	14-Sep-17	DOG
54_2024_13-Feb-24	54_2024	ccolorado	Y	54	2024	Peru	Caso002	NA	Villa Progreso	CON DUENHO	2/13/24	NA	13/02/24	13/02/24	14/02/24	15/02/24	NA	NA	-71.54766915	-16.31042615	869048.7706	8193637.96	NA	13-Feb-24	DOG
126_2021_29-Mar-21	126_2021	ccolorado	Y	126	2021	Peru	Caso032	NA	VILLA CERRILLOS	NA	3/30/21	29/03/21	31/03/21	31/03/21	31/03/21	3/4/21	2	5	-71.54642208	-16.31336532	869176.6751	8193310.073	NA	29-Mar-21	DOG
121_2019_20-Apr-19	121_2019	ccolorado	Y	121	2019	Peru	Caso012	NA	NA	NA	4/22/19	20/04/19	23/04/19	23/04/19	23/04/19	24/04/19	3	4	-71.54525	-16.316534	869296.1203	8192956.893	NA	20-Apr-19	CAT
495_2016_15-Oct-16	495_2016	ccolorado	Y	495	2016	Peru	NA	23	JORGE CHAVEZ	NA	10/15/16	15/10/16	15/10/16	15/10/16	17/10/16	18/10/16	0	3	-71.54519947	-16.3235226	869288.3918	8192182.544	NA	15-Oct-16	DOG
89_2018_10-Mar-18	89_2018	ccolorado	Y	89	2018	Peru	Caso012	5	JORGE CHAVEZ	CON DUENHO	3/12/18	10/3/18	11/3/18	13/03/18	14/03/18	16/03/18	1	6	-71.54373	-16.3241	869444.5138	8192115.906	NA	10-Mar-18	DOG
259_2017_29-Jul-17	259_2017	ccolorado	Y	259	2017	Peru	Caso032	16	JORGE CHAVEZ	CON DUENHO	7/31/17	29/07/17	31/07/17	31/07/17	31/07/17	1/8/17	2	3	-71.54346901	-16.32237075	869475.6871	8192307.014	NA	29-Jul-17	DOG
247_2018_30-May-18	247_2018	ccolorado	Y	247	2018	Peru	Caso027	11	NA	CON DUENHO	6/1/18	30/05/18	1/6/18	1/6/18	1/6/18	4/6/18	2	5	-71.54096	-16.314486	869758.9464	8193176	NA	30-May-18	DOG
275_2017_13-Aug-17	275_2017	ccolorado	Y	275	2017	Peru	Caso034	17	ABAD DE PIERRE	CON DUENHO	8/16/17	13/08/17	16/08/17	16/08/17	16/08/17	NA	3	NA	-71.54095899	-16.31601061	869756.1865	8193007.088	NA	13-Aug-17	DOG
402_2017_15-Dec-17	402_2017	ccolorado	Y	402	2017	Peru	Caso047	NA	VIA DE EVITAMIENTO KM 6.5		NA	NA	NA	15/12/17	15/12/17	NA	NA	NA	-71.57979777	-16.35370915	NA	NA	NA	15-Dec-17	DOG
24_2019_24-Jan-19	24_2019	ccolorado	Y	24	2019	Peru	Caso004	NA	Calle Sosa Ruiz 909 -		1/25/19	24/01/19	25/01/19	25/01/19	25/01/19	26/01/19	NA	NA	-71.56320175	-16.37187602	NA	NA	NA	24-Jan-19	DOG
10_2021_8-Jan-21	10_2021	ccolorado	Y	10	2021	Peru	Caso004	NA	AV INSUSTRIAL		1/11/21	8/1/21	1/12/21	14/01/21	15/01/21	15/01/21	NA	NA	-71.58495258	-16.34979926	NA	NA	NA	8-Jan-21	DOG
146_2021_20-Apr-21	146_2021	ccolorado	Y	146	2021	Peru	Caso034	NA	VILLA  AVIACION		4/20/21	20/04/21	20/04/21	20/04/21	20/04/21	22/04/21	NA	NA	-71.594948	-16.328681	NA	NA	NA	20-Apr-21	DOG
15_2021_22-Jan-21	15_2021	ccolorado	Y	15	2021	Peru	Caso008	NA	GRANJEROS UNIDOS	CON DUENHO	1/22/21	22/01/21	23/01/21	23/01/21	25/01/21	26/01/21	NA	NA	-71.5972254	-16.31541743	NA	NA	NA	22-Jan-21	DOG
246_2022_12-Sep-22	246_2022	characato	Y	246	2022	Peru	Caso030	NA	ASOC. GUSTAVO MOHOME LLOSA	CON DUENHO	9/15/22	12/9/22	15/09/22	16/09/22	16/09/22	17/09/22	3	5	-71.49214885	-16.479248	874665.3862	8174831.987	NA	12-Sep-22	DOG
286_2022_13-Oct-22	286_2022	characato	Y	286	2022	Peru	Caso035	NA	CALLE MOQUEGUA NRO 86-A LA HUAYLLA	CON DUENHO	10/16/22	13/10/22	17/10/22	17/10/22	18/10/22	19/10/22	4	6	-71.476934	-16.474685	876300.7269	8175309.206	NA	13-Oct-22	DOG
219_2022_20-Aug-22	219_2022	characato	Y	219	2022	Peru	Caso024	NA	YANAYACO	CON DUENHO	8/29/22	20/08/22	29/08/22	29/08/22	31/08/22	1/9/22	9	12	-71.45930038	-16.47372171	878187.7588	8175382.94	NA	20-Aug-22	DOG
158_2022_17-Jun-22	158_2022	hunter	Y	158	2022	Peru	Caso017	NA	TINGO GRANDE	CON DUENHO	6/19/22	17/06/22	21/06/22	21/06/22	22/06/22	24/06/22	4	7	-71.57648403	-16.45532977	865695.0446	8177636.681	NA	17-Jun-22	DOG
2_2017_3-Jan-17	2_2017	hunter	Y	2	2017	Peru	Caso001	NA	NA	NA	NA	NA	3/1/17	3/1/17	3/1/17	NA	NA	NA	-71.56520284	-16.44510074	866920.3543	8178749.46	NA	3-Jan-17	DOG
69_2022_21-Mar-22	69_2022	hunter	Y	69	2022	Peru	Caso007	NA	UPIS PAISAJISTA	CON DUENHO	3/22/22	21/03/22	22/03/22	22/03/22	23/03/22	24/03/22	1	3	-71.55672352	-16.46286521	867793.3751	8176765.939	NA	21-Mar-22	DOG
173_2022_11-Jul-22	173_2022	hunter	Y	173	2022	Peru	Caso020	NA	AV. SAN MIGUEL	CON DUENHO	7/11/22	11/7/22	11/7/22	12/7/22	12/7/22	14/07/22	0	3	-71.554181	-16.448238	868092.8246	8178381.832	NA	11-Jul-22	DOG
162_2018_23-Apr-18	162_2018	jlbyr	Y	162	2018	Peru	Caso022	NA	CENTRO CANINO		NA	NA	NA	23/04/18	23/04/18	NA	NA	NA	-71.539085	-16.447126	NA	NA	NA	23-Apr-18	DOG
22_2018_24-Jan-18	22_2018	jlbyr	Y	22	2018	Peru	Caso003	NA	Av. Los incas s/n 		NA	NA	NA	24/01/18	25/01/18	NA	NA	NA	-71.52636	-16.414825	NA	NA	NA	24-Jan-18	DOG
92_2018_17-Mar-18	92_2018	jlbyr	Y	92	2018	Peru	Caso013	NA	DOLORES S/N DETRÁS DEL HOTEL		NA	NA	NA	17/03/18	19/03/18	NA	NA	NA	-71.52698	-16.414707	NA	NA	NA	17-Mar-18	DOG
93_2018_20-Mar-18	93_2018	jlbyr	Y	93	2018	Peru	Caso014	NA	PARQUE AL FRENTE DEL COLEGIO J. BASADRE		NA	NA	NA	20/03/18	20/03/18	NA	NA	NA	-71.526474	-16.4332	NA	NA	NA	20-Mar-18	DOG
348_2023_6-Oct-23	348_2023	jlbyr	Y	348	2023	Peru	Caso026	NA	Urbanizacion bancarios (canal IREN) 	SIN DUENHO	10/6/23	6/10/23	6/10/23	7/10/23	9/10/23	11/10/23	NA	NA	-71.52991653	-16.41443555	NA	NA	NA	6-Oct-23	DOG
358_2023_18-Oct-23	358_2023	jlbyr	Y	358	2023	Peru	Caso027	NA	Parqueo IREN - JLByR	SIN DUENHO	10/18/23	18/10/23	18/10/23	18/10/23	19/10/23	20/10/23	0	2	-71.53008754	-16.4148062	870732.2947	8182041.699	NA	18-Oct-23	DOG
312_2019_7-Oct-19	312_2019	jlbyr	Y	312	2019	Peru	Caso032	NA	NA	NA	NA	7/10/19	7/10/19	7/10/19	7/10/19	8/10/19	0	1	-71.5208509	-16.4420357	871668.138	8179007.947	NA	7-Oct-19	DOG
