node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
267,100,0.754823391566541,-71.5800180215855,-16.340889937181,-71.5444496399841,-16.3389680400012,15.2162580866883,14.4614346951218,2016.84983414268,2017.60465753425,272_2017_2017-08-10
207,209,0.335526014416233,-71.5159182803284,-16.3828968306229,-71.5153950302089,-16.3949709553463,15.2233715283235,14.8878455139073,2017.27624496147,2017.61177097588,NA
263,95,1.12330050028741,-71.5812157062438,-16.3325312973104,-71.5409589899944,-16.3160106099975,15.2244772647704,14.101176764483,2016.48957621204,2017.61287671233,275_2017_2017-08-13
233,65,0.305070534532083,-71.5332159710058,-16.3588070242548,-71.5147856199984,-16.3733665400036,15.2436553469622,14.9385848124301,2017.32698425999,2017.63205479452,279_2017_2017-08-20
291,124,0.343449556208222,-71.549253657298,-16.3196700871538,-71.5476714499974,-16.3140744300027,15.3121484976467,14.9686989414384,2017.357098389,2017.70054794521,302_2017_2017-09-14
208,40,0.160870239150089,-71.5147162145066,-16.3688740152029,-71.5109532099922,-16.3691726700027,15.3121484976467,15.1512782584966,2017.53967770606,2017.70054794521,298_2017_2017-09-14
304,305,0.135055767994812,-71.60482550568,-16.3355407445455,-71.6074561923739,-16.3377287748654,15.3127878663833,15.1777320983885,2017.56613154595,2017.70118731394,NA
225,227,0.21146379389069,-71.5656514096584,-16.3402003194407,-71.5724244237067,-16.3502124728907,15.3385696896314,15.1271058957407,2017.5155053433,2017.72696913719,NA
268,271,0.345056363624081,-71.5948278662771,-16.3385862370279,-71.5982269604176,-16.3315939101559,15.3507728928769,15.0057165292528,2017.39411597681,2017.73917234044,NA
208,41,0.210185307642668,-71.5147162145066,-16.3688740152029,-71.5269393599976,-16.3439839899974,15.3614635661392,15.1512782584966,2017.53967770606,2017.7498630137,315_2017_2017-10-02
201,34,2.16721878699772,-71.5013377390906,-16.3873906907527,-71.4802331499973,-16.3912030300002,15.366943018194,13.1997242311962,2015.58812367875,2017.75534246575,319_2017_2017-10-04
298,299,0.414936724059238,-71.5867003837847,-16.3480043292368,-71.5966686882899,-16.3477018984556,15.3790907128142,14.964153988755,2017.35255343631,2017.76749016037,NA
196,28,2.28978094086091,-71.4958543632949,-16.4000135270126,-71.4950134600046,-16.3965760300026,15.5039293195632,13.2141483787023,2015.60254782626,2017.89232876712,375_2017_2017-11-23
305,306,0.208257209746641,-71.6074561923739,-16.3377287748654,-71.6048493944413,-16.3355475134024,15.5210450761299,15.3127878663833,2017.70118731394,2017.90944452369,NA
291,292,0.590343152516811,-71.549253657298,-16.3196700871538,-71.5557055553305,-16.3334261142542,15.5590420939553,14.9686989414384,2017.357098389,2017.94744154151,NA
227,60,0.225633602537386,-71.5724244237067,-16.3502124728907,-71.5797977700102,-16.3537091499998,15.5642032921688,15.3385696896314,2017.72696913719,2017.95260273973,402_2017_2017-12-15
209,210,0.342399665615128,-71.5153950302089,-16.3949709553463,-71.527199180166,-16.4166093502963,15.5657711939386,15.2233715283235,2017.61177097588,2017.9541706415,NA
225,226,0.483856605980811,-71.5656514096584,-16.3402003194407,-71.5442347033618,-16.3217758362534,15.6109625017215,15.1271058957407,2017.5155053433,2017.99936194928,NA
268,269,0.613979156362655,-71.5948278662771,-16.3385862370279,-71.6114496290703,-16.3472106569964,15.6196956856155,15.0057165292528,2017.39411597681,2018.00809513317,NA
