ident;lat;long;y_proj;x_proj
Ferrocarril_01;-16.41866407;-71.70708438;-1941250.258;2818714.333
Ferrocarril_01;-16.41907799;-71.70699851;-1941299.901;2818718.703
Ferrocarril_01;-16.41910357;-71.7070108;-1941302.751;2818716.98
Ferrocarril_01;-16.41915459;-71.7070353;-1941308.431;2818713.544
Ferrocarril_01;-16.4192054;-71.70705971;-1941314.089;2818710.123
Ferrocarril_01;-16.41925401;-71.70709341;-1941319.372;2818705.677
Ferrocarril_01;-16.41931035;-71.70713009;-1941325.526;2818700.793
Ferrocarril_01;-16.41940957;-71.70717613;-1941336.593;2818694.295
Ferrocarril_01;-16.4194178;-71.70717995;-1941337.512;2818693.756
Ferrocarril_01;-16.41977719;-71.70725339;-1941378.769;2818680.789
Ferrocarril_01;-16.42013924;-71.70727535;-1941420.98;2818673.617
Ferrocarril_01;-16.42050852;-71.70730961;-1941463.886;2818664.959
Ferrocarril_01;-16.42112886;-71.70744611;-1941534.976;2818641.472
Ferrocarril_01;-16.42168348;-71.70753882;-1941598.902;2818623.795
Ferrocarril_01;-16.42201892;-71.70755587;-1941638.052;2818617.524
Ferrocarril_01;-16.42231898;-71.70744176;-1941674.687;2818626.565
Ferrocarril_01;-16.42263838;-71.70715635;-1941715.732;2818654.757
Ferrocarril_01;-16.4227519;-71.70694027;-1941731.752;2818677.76
Ferrocarril_01;-16.42280999;-71.70662101;-1941742.557;2818713.167
Ferrocarril_01;-16.42279642;-71.70630568;-1941744.903;2818749.056
Ferrocarril_01;-16.4226674;-71.70605556;-1941732.887;2818779.054
Ferrocarril_01;-16.42264451;-71.70602632;-1941730.566;2818782.662
Ferrocarril_01;-16.42261906;-71.70597952;-1941728.164;2818788.292
Ferrocarril_01;-16.42248092;-71.70582781;-1941713.849;2818807.262
Ferrocarril_01;-16.42210357;-71.70561482;-1941672.228;2818836.268
Ferrocarril_01;-16.42167811;-71.70532904;-1941625.871;2818874.141
Ferrocarril_01;-16.42138373;-71.70499791;-1941595.461;2818915.455
Ferrocarril_01;-16.42124846;-71.70473437;-1941582.879;2818947.054
Ferrocarril_01;-16.42120953;-71.70433347;-1941583.319;2818992.963
Ferrocarril_01;-16.42130917;-71.70394133;-1941599.91;2819036.088
Ferrocarril_01;-16.42131903;-71.70390514;-1941601.519;2819040.059
Ferrocarril_01;-16.42209355;-71.70228724;-1941712.62;2819213.28
Ferrocarril_01;-16.42246445;-71.70133469;-1941768.046;2819316.365
Ferrocarril_01;-16.42245958;-71.70130576;-1941767.835;2819319.705
Ferrocarril_01;-16.42265072;-71.70083208;-1941796.184;2819370.88
Ferrocarril_01;-16.42271661;-71.70002955;-1941813.943;2819460.923
Ferrocarril_01;-16.42272793;-71.69959271;-1941820.73;2819510.254
Ferrocarril_01;-16.42276495;-71.69911089;-1941831.095;2819564.347
Ferrocarril_01;-16.42289073;-71.69882621;-1941849.412;2819594.961
Ferrocarril_01;-16.42339672;-71.69845887;-1941913.382;2819630.015
Ferrocarril_01;-16.42402566;-71.69827139;-1941989.533;2819643.107
Ferrocarril_01;-16.42590637;-71.69804138;-1942213.113;2819644.805
Ferrocarril_01;-16.42910437;-71.69771486;-1942592.487;2819640.368
Ferrocarril_01;-16.43026557;-71.69746129;-1942731.927;2819654.045
Ferrocarril_01;-16.4308565;-71.69705548;-1942806.347;2819692.351
Ferrocarril_01;-16.43114129;-71.69672814;-1942843.861;2819725.736
Ferrocarril_01;-16.43125236;-71.6964028;-1942860.963;2819761.145
Ferrocarril_01;-16.43139105;-71.69586153;-1942884.005;2819820.651
Ferrocarril_01;-16.43141053;-71.69579837;-1942887.082;2819827.552
Ferrocarril_01;-16.43140589;-71.69512378;-1942894.972;2819904.014
Ferrocarril_01;-16.43138176;-71.69506985;-1942892.815;2819910.436
Ferrocarril_01;-16.43132174;-71.69421013;-1942896.521;2820008.584
Ferrocarril_01;-16.43131362;-71.69419174;-1942895.798;2820010.773
Ferrocarril_01;-16.43105493;-71.69352119;-1942873.825;2820090.07
Ferrocarril_01;-16.43065122;-71.6929711;-1942833.326;2820157.604
Ferrocarril_01;-16.4297502;-71.69261353;-1942732.059;2820209.778
Ferrocarril_01;-16.4278182;-71.69218534;-1942510.682;2820283.308
Ferrocarril_01;-16.42746296;-71.69194963;-1942471.939;2820314.607
Ferrocarril_01;-16.42742325;-71.69191466;-1942467.717;2820319.082
Ferrocarril_01;-16.42733798;-71.6918577;-1942458.422;2820326.639
Ferrocarril_01;-16.42683481;-71.69149258;-1942403.937;2820374.512
Ferrocarril_01;-16.42681857;-71.69148441;-1942402.134;2820375.648
Ferrocarril_01;-16.42576184;-71.69082585;-1942286.353;2820463.93
Ferrocarril_01;-16.42485451;-71.69070124;-1942181.43;2820489.799
Ferrocarril_01;-16.42479803;-71.6906917;-1942174.92;2820491.611
Ferrocarril_01;-16.42429605;-71.69072673;-1942115.571;2820494.146
Ferrocarril_01;-16.4242104;-71.69072001;-1942105.603;2820496.016
Ferrocarril_01;-16.42372125;-71.69069285;-1942048.538;2820505.429
Ferrocarril_01;-16.42345585;-71.69058606;-1942018.726;2820520.963
Ferrocarril_01;-16.42325586;-71.69039775;-1941997.61;2820544.883
Ferrocarril_01;-16.42304367;-71.69007286;-1941976.769;2820584.431
Ferrocarril_01;-16.42278495;-71.68978206;-1941950.042;2820620.721
Ferrocarril_01;-16.42247484;-71.68957996;-1941916.175;2820647.629
Ferrocarril_01;-16.42245316;-71.68957358;-1941913.71;2820648.633
Ferrocarril_01;-16.42202262;-71.68947496;-1941864.416;2820665.381
Ferrocarril_01;-16.42056538;-71.68964702;-1941691.244;2820664.767
Ferrocarril_01;-16.42006882;-71.68968767;-1941632.461;2820666.594
Ferrocarril_01;-16.42002775;-71.68967784;-1941627.764;2820668.239
Ferrocarril_01;-16.41979189;-71.68960556;-1941600.987;2820679.481
Ferrocarril_01;-16.41958415;-71.68948533;-1941578.11;2820695.79
Ferrocarril_01;-16.41953845;-71.68945851;-1941573.082;2820699.42
Ferrocarril_01;-16.41924454;-71.68900577;-1941544.248;2820754.509
Ferrocarril_01;-16.41903307;-71.6886249;-1941524.191;2820800.39
Ferrocarril_01;-16.41902295;-71.68857902;-1941523.577;2820805.718
Ferrocarril_01;-16.41890412;-71.68823196;-1941513.969;2820846.569
Ferrocarril_01;-16.41888997;-71.68817497;-1941513.021;2820853.208
Ferrocarril_01;-16.4188311;-71.6878105;-1941510.668;2820895.254
Ferrocarril_01;-16.41880887;-71.68774925;-1941508.825;2820902.48
