group,date,decimal-date,root-to-tip-distance,label
"Global","2019-04-26","2019.3150684931506","0.007250350816374941","131_2019"
"Global","2019-01-24","2019.0630136986301","0.00709405681637494","24_2019"
"Global","2021-02-09","2021.1068493150685","0.0074068738163749395","40_2021"
"Global","2023-03-13","2023.194520547945","0.00865899281637494","100_2023"
"Global","2022-06-06","2022.427397260274","0.00787643881637494","145_2022"
"Global","2022-07-07","2022.5123287671233","0.007438082816374939","172_2022"
"Global","2023-02-03","2023.0904109589042","0.007954205816374939","30_2023"
"Global","2022-09-26","2022.7342465753425","0.008032178816374939","266_2022"
"Global","2023-02-15","2023.123287671233","0.00826706981637494","56_2023"
"Global","2023-03-31","2023.2438356164384","0.00811043181637494","152_2023"
"Global","2022-10-08","2022.7671232876712","0.00787584681637494","280_2022"
"Global","2023-07-19","2023.545205479452","0.008110412816374939","297_2023"
"Global","2023-08-24","2023.6438356164383","0.008320050816374939","321_2023"
"asa","2016-06-16","2016.4562841530055","0.00678101181637494","302_2016"
"asa","2017-03-09","2017.1835616438357","0.0067021968163749395","101_2017"
"asa","2017-09-14","2017.7013698630137","0.00685730081637494","298_2017"
"asa","2017-10-02","2017.7506849315068","0.00693543981637494","315_2017"
"asa","2015-04-03","2015.2520547945205","0.007326679816374941","114_2015"
"asa","2017-08-20","2017.6328767123289","0.007746958816374941","279_2017"
"asa","2023-05-23","2023.3890410958904","0.008342720816374943","218_2023"
"asa","2019-06-11","2019.441095890411","0.007250585816374939","182_2019"
"asa","2023-01-06","2023.013698630137","0.009128845816374942","4_2023"
"cayma","2017-04-13","2017.2794520547945","0.00685818981637494","145_2017"
"cayma","2020-01-31","2020.0819672131147","0.00719954481637494","23_2020"
"cayma","2019-08-06","2019.5945205479452","0.00756133381637494","240_2019"
"cayma","2019-10-29","2019.8246575342466","0.0074151078163749405","336_2019"
"cayma","2019-02-15","2019.123287671233","0.00740481781637494","48_2019"
"cayma","2019-02-13","2019.1178082191782","0.007094050816374939","46_2019"
"cayma","2017-08-10","2017.6054794520549","0.007024401816374939","272_2017"
"cayma","2019-04-26","2019.3150684931506","0.007250350816374941","131_2019"
"cayma","2022-07-07","2022.5123287671233","0.007438082816374939","172_2022"
"ccolarado","2021-03-09","2021.1835616438357","0.00682538481637494","75_2021"
"ccolarado","2016-01-27","2016.0710382513662","0.00670380981637494","22_2016"
"ccolarado","2017-04-09","2017.268493150685","0.00717285081637494","112_2017"
"ccolarado","2016-02-04","2016.0928961748634","0.00678175781637494","32_2016"
"ccolarado","2016-02-17","2016.1284153005465","0.0068599418163749395","44_2016"
"ccolarado","2016-04-04","2016.2568306010928","0.00654673081637494","130_2016"
"ccolarado","2017-03-17","2017.2054794520548","0.00654673081637494","91_2017"
"ccolarado","2017-12-15","2017.9534246575342","0.00709175181637494","402_2017"
"ccolarado","2018-03-25","2018.227397260274","0.00762042581637494","107_2018"
"ccolarado","2018-05-30","2018.4082191780822","0.00748248481637494","247_2018"
"ccolarado","2018-03-10","2018.186301369863","0.00724804281637494","89_2018"
"ccolarado","2018-05-02","2018.331506849315","0.00709205681637494","186_2018"
"ccolarado","2019-08-08","2019.6","0.00732649781637494","242_2019"
"ccolarado","2019-04-20","2019.2986301369863","0.00740491781637494","121_2019"
"ccolarado","2021-06-26","2021.482191780822","0.00746341881637494","213_2021"
"ccolarado","2021-02-07","2021.1013698630136","0.0077176358163749395","31_2021"
"ccolarado","2021-03-29","2021.2383561643835","0.0077176358163749395","126_2021"
"ccolarado","2020-12-17","2020.9590163934427","0.007639286816374939","149_2020"
"ccolarado","2021-04-20","2021.2986301369863","0.00763928581637494","146_2021"
"ccolarado","2024-04-13","2024.2814207650274","0.008815413816374941","151_2024"
"ccolarado","2024-02-13","2024.1174863387978","0.008577790816374942","54_2024"
"ccolarado","2018-02-10","2018.109589041096","0.00655090281637494","52_2018"
"ccolarado","2016-04-21","2016.3032786885246","0.0065469468163749395","166_2016"
"ccolarado","2016-09-24","2016.7295081967213","0.006703246816374939","462_2016"
"ccolarado","2017-09-14","2017.7013698630137","0.00662509481637494","302_2017"
"ccolarado","2016-10-07","2016.7650273224044","0.0067032548163749395","480_2016"
